#GeneAligned;AlignStart;AlignEnd;GenePosStart;GenePosEnd
2...hflB_115;58;2016;12369;14328
2...hpt_114;2032;2574;11811;12354
2...SP70585_0011_113;2578;3855;10530;11808
2...SP70585_0010_112;3852;5120;9265;10534
2...SP70585_0008_110;5240;5608;8777;9146
2...mfd_108;5925;9434;4951;8461
2...pth_107;9435;10004;4381;4951
2...ychF_106;10075;11190;3195;4311
2...dnaN_104;11533;12669;1716;2853
2...dnaA_102;12828;14189;196;1558
2...SP70585_2370_3258;14402;15160;2183907;2184666
2...SP70585_2369_3257;15220;16399;2182668;2183850
2...SP70585_2368_3255;16582;17061;2182006;2182486
2...SP70585_2365_3251;17490;18815;2180252;2181578
2...SP70585_2364_3250;18812;19564;2179503;2180256
2...SP70585_2361_3247;19806;20348;2178718;2179261
2...SP70585_2360_3245;20526;21293;2177772;2178540
2...SP70585_2359_3244;21378;21716;2177349;2177688
2...SP70585_2358_3242;22159;24711;2174354;2176907
2...SP70585_2357_3241;24773;26395;2172670;2174293
2...trpS_3239;26601;27626;2171439;2172465
2...guaB_3237;27778;29256;2169809;2171288
2...recF_3236;29307;30404;2168661;2169759
2...SP70585_2353_3235;30407;30775;2168290;2168659
2...SP70585_2352_3233;30934;32184;2166881;2168132
2...SP70585_2351_3232;32181;33464;2165601;2166885
2...SP70585_2350_3231;33506;34327;2164738;2165560
2...pgsA_3230;34338;34883;2164182;2164728
2...cbiO_3229;34880;35707;2163358;2164186
2...cbiO_3228;35692;36531;2162534;2163374
2...SP70585_2346_3227;36524;37318;2161747;2162542
2...mreC_3226;37377;38195;2160870;2161689
2...mreD_3225;38195;38689;2160376;2160871
2...SP70585_2343_3224;38783;39961;2159104;2160283
2...rpsB_3222;40185;40964;2158101;2158881
2...tsf_3221;41043;42083;2156982;2158023
2...SP70585_0779_1149;42807;43115;714319;714829
2...SP70585_2338_3216;43085;43484;2155579;2155978
2...cysK_3214;43680;44600;2154462;2155383
2...SP70585_2336_3212;44885;45520;2153542;2154178
2...SP70585_2335_3211;45576;46874;2152188;2153487
2...SP70585_2334_3210;46871;47533;2151529;2152192
2...SP70585_2333_3209;47613;48161;2150902;2151451
2...SP70585_2332_3207;48297;50270;2148793;2150767
2...rplI_3206;50267;50719;2148344;2148797
2...dnaB_3205;50763;52115;2146949;2148302
2...SP70585_2328_3203;52472;53590;2145474;2146593
2...SP70585_2326_3200;54096;54851;2144207;2144969
2...SP70585_2325_3199;54896;55903;2143162;2144170
2...SP70585_2324_3198;55903;56631;2142434;2143163
2...SP70585_2323_3196;56750;57208;2141857;2142316
2...clpB_3195;57210;59642;2139423;2141856
2...SP70585_2319_3191;60284;60937;2138128;2138782
2...SP70585_2318_3190;60934;62265;2136800;2138132
2...SP70585_2317_3189;62348;62875;2136190;2136718
